GEO_ID,healthinsurance
1400000US18097390102,5883
1400000US18097390103,3130
1400000US18097390104,6131
1400000US18097390200,4798
1400000US18097390300,6295
1400000US18097390405,3684
1400000US18097390406,6110
1400000US18097390407,5964
1400000US18097390408,4845
1400000US18097390409,5922
1400000US18097390410,1677
1400000US18097390411,3492
1400000US18097390500,2377
1400000US18097390601,2641
1400000US18097390602,3048
1400000US18097390700,3114
1400000US18097390801,0
1400000US18097390802,3979
1400000US18097390900,2724
1400000US18097391001,1374
1400000US18097391002,5065
1600000US1836003,859721
