GEO_ID,TotPop,walkability
1400000US18097380902,1754,8.833333333
1400000US18097380501,1132,6
1400000US18097380501,1317,9.166666667
1400000US18097380502,1044,10.83333333
1400000US18097380502,1430,12.33333333
1400000US18097380502,1288,11.83333333
1400000US18097380600,1519,5.833333333
1400000US18097380700,2878,14.66666667
1400000US18097380700,940,15.33333333
1400000US18097380700,2036,6.333333333
1400000US18097380800,1251,5.333333333
1400000US18097380800,768,16.16666667
1400000US18097380800,814,13
1400000US18097380901,1838,7
1400000US18097380901,1933,5.333333333
1400000US18097380902,929,7.666666667
1400000US18097380902,3032,8.666666667
1400000US18097381002,1307,6.666666667
1400000US18097381002,949,12.5
1400000US18097381102,2075,13.66666667
1400000US18097410800,2466,6
1400000US18097410800,1923,6.333333333
1400000US18097351700,815,16.83333333
1400000US18097351900,646,12
1400000US18097351900,613,17.83333333
1400000US18097351900,1165,10.83333333
1400000US18097352100,613,11
1400000US18097610300,2786,11.5
1400000US18097610201,585,9.5
1400000US18097210604,5675,7.833333333
1400000US18097610201,2383,7.666666667
1400000US18097610401,1651,11.66666667
1400000US18097210102,2898,4.666666667
1400000US18097354500,1790,15.83333333
1400000US18097357900,1273,17.66666667
1400000US18097352100,866,14.5
1400000US18097355400,784,15
1400000US18097390102,1259,10.66666667
1400000US18097342200,2230,14.83333333
1400000US18097330109,1836,4.666666667
1400000US18097340902,1530,15.66666667
1400000US18097380404,1426,5.833333333
1400000US18097342101,2128,15
1400000US18097370302,2325,5
1400000US18097370201,731,7.666666667
1400000US18097320108,1848,9.666666667
1400000US18097381102,1505,7.666666667
1400000US18097381201,2095,5
1400000US18097310106,1458,9
1400000US18097310110,1945,9.833333333
1400000US18097340112,2234,7.833333333
1400000US18097330209,1614,4.666666667
1400000US18097330806,1707,12.5
1400000US18097340902,1765,10.16666667
1400000US18097341904,2388,14.66666667
1400000US18097380404,1317,12.83333333
1400000US18097340902,2271,13
1400000US18097390102,4751,8.166666667
1400000US18097330202,3240,10.33333333
1400000US18097330108,1197,7.5
1400000US18097330700,1951,8.166666667
1400000US18097380403,382,12.66666667
1400000US18097310310,2082,5.5
1400000US18097111102,1536,6.666666667
1400000US18097110805,1860,7.5
1400000US18097390405,2712,14.5
1400000US18097310111,2150,14
1400000US18097321001,1208,11.16666667
1400000US18097310306,2543,16.83333333
1400000US18097320202,2299,14
1400000US18097320800,1219,9.833333333
1400000US18097350100,911,11
1400000US18097321300,1159,15.5
1400000US18097321700,1279,15.5
1400000US18097322400,872,15.66666667
1400000US18097322200,1305,11.83333333
1400000US18097322600,522,12.83333333
1400000US18097322700,805,9.666666667
1400000US18097330401,1941,9.333333333
1400000US18097330805,1657,14.66666667
1400000US18097110807,2908,8.833333333
1400000US18097610401,615,9.166666667
1400000US18097341902,899,10
1400000US18097340901,2474,4.333333333
1400000US18097340600,1132,13.33333333
1400000US18097340700,1408,14
1400000US18097341200,1282,12.5
1400000US18097340901,1271,14.5
1400000US18097356400,1463,17.33333333
1400000US18097341600,1048,12.83333333
1400000US18097342400,1435,9.666666667
1400000US18097358100,710,12
1400000US18097370202,713,8.5
1400000US18097356400,1294,14.83333333
1400000US18097350600,1467,11
1400000US18097350800,882,12
1400000US18097350900,919,12
1400000US18097353300,813,16.33333333
1400000US18097353500,1105,14
1400000US18097352600,667,14.16666667
1400000US18097352600,811,13.66666667
1400000US18097352600,805,10.33333333
1400000US18097310203,2878,15.16666667
1400000US18097310310,2900,8
1400000US18097340110,1096,15.83333333
1400000US18097340111,1528,8.5
1400000US18097321800,1119,13.83333333
1400000US18097340202,697,11.33333333
1400000US18097310312,2152,10.33333333
1400000US18097360602,661,14.16666667
1400000US18097380402,1155,13.33333333
1400000US18097341903,2662,11
1400000US18097330206,3513,5
1400000US18097310203,1821,13.66666667
1400000US18097310311,1190,6
1400000US18097321600,1158,12.33333333
1400000US18097330107,1404,5.666666667
1400000US18097340111,2473,4.833333333
1400000US18097352400,1758,12
1400000US18097352400,359,11.33333333
1400000US18097352500,382,13.83333333
1400000US18097352500,494,14.33333333
1400000US18097210607,2616,10.5
1400000US18097210606,5560,8.666666667
1400000US18097320108,2654,7.166666667
1400000US18097320105,2000,14.5
1400000US18097320109,1323,15
1400000US18097381201,2316,10.33333333
1400000US18097390402,4456,5.666666667
1400000US18097390101,2488,6
1400000US18097381204,782,12.83333333
1400000US18097381205,3386,9.166666667
1400000US18097381001,1986,15.83333333
1400000US18097351200,1568,14
1400000US18097390404,1772,11.16666667
1400000US18097370302,3509,3.333333333
1400000US18097380600,1915,15.83333333
1400000US18097354200,1716,18.83333333
1400000US18097380402,1754,11
1400000US18097381001,2278,12
1400000US18097390404,2253,6.333333333
1400000US18097341903,1002,13.5
1400000US18097353600,1494,14.5
1400000US18097355000,784,13.33333333
1400000US18097354900,1646,13.16666667
1400000US18097355400,1191,12.66666667
1400000US18097355500,1646,11.33333333
1400000US18097361200,2401,11.66666667
1400000US18097355600,1946,14.83333333
1400000US18097355900,708,17.66666667
1400000US18097340114,1332,6.333333333
1400000US18097390404,1660,10.66666667
1400000US18097340800,1002,9.833333333
1400000US18097341000,1120,16.66666667
1400000US18097350400,1295,14.83333333
1400000US18097352500,1155,15.83333333
1400000US18097380100,3471,6.666666667
1400000US18097210102,9346,5.666666667
1400000US18097810605,3701,8.333333333
1400000US18097310108,1961,4.666666667
1400000US18097340300,1964,14
1400000US18097341903,2039,14.5
1400000US18097390405,1496,5.166666667
1400000US18097310305,2281,4
1400000US18097360401,3354,8.333333333
1400000US18097361600,5471,8.833333333
1400000US18097360602,1922,14.66666667
1400000US18097310309,2992,13.33333333
1400000US18097310203,1071,8.166666667
1400000US18097321600,1473,4.5
1400000US18097390402,1871,7.5
1400000US18097340110,2626,14.5
1400000US18097310204,2278,12.66666667
1400000US18097310312,2096,14.16666667
1400000US18097330109,1667,8.666666667
1400000US18097110810,598,9.833333333
1400000US18097110805,3164,7.5
1400000US18097351700,899,14.33333333
1400000US18097352300,516,10.83333333
1400000US18097352600,939,16.16666667
1400000US18097352700,1493,16
1400000US18097354400,1411,17.5
1400000US18097352800,999,13.16666667
1400000US18097210604,3241,9.833333333
1400000US18097111102,2271,10.33333333
1400000US18097351000,827,14.16666667
1400000US18097352700,1052,14.83333333
1400000US18097390800,2433,5.666666667
1400000US18097310305,2451,11
1400000US18097310103,2114,5.666666667
