GEO_ID,index,income,percentPoverty,owneroccupied,foodstamps,healthinsurance,artcount,mobility,crimes,walkability,TOT_PARK_AREA_SQMILES
1400000US18097330806,36.25,18.7,51.9,41.1,33.3,4693,3,2366,148,11.5,0
1400000US18097330900,28.05,10.8,26.6,42.9,31.9,6149,10,1638,426,12.20833334,0.020434761
1400000US18097331000,41.675,26.2,36,78,26.5,3867,8,1387,241,12.03333333,0.007797061
1400000US18097340101,31.2,12.5,14.4,88.6,9.3,5059,2,715,167,12,0.029190288
1400000US18097340102,18.7,27.1,21.9,15.1,10.7,3546,1,741,241,16.16666667,0
1400000US18097340108,16.275,17.8,19.1,21.1,7.1,2341,0,446,110,13.58333334,0
1400000US18097340111,28.675,26.5,5.5,81.6,1.1,2834,1,155,88,6.666666667,0
1400000US18097340112,20.875,29.7,9.8,33,11,4230,0,415,231,7.555555556,0
1400000US18097340113,34.525,29.7,12.2,79.1,17.1,4162,0,505,115,9.333333335,0
1400000US18097340114,29.175,20.3,4.3,89.9,2.2,3863,9,168,48,6.583333333,0.053826538
1400000US18097340201,35.175,22.9,23.8,78.2,15.8,3461,6,823,153,13.25,0.060148763
1400000US18097340202,22.7,15.6,26.2,39.9,9.1,4386,4,1054,0,14.72222222,0.025207422
1400000US18097340400,30.6,24.2,20.7,56.2,21.3,3720,16,771,263,13.11111111,0.001824819
1400000US18097340500,23.325,22,30.4,24.2,16.7,6103,10,1598,214,11.44444444,0.080197989
1400000US18097340600,30.2,27.2,22.1,58,13.5,5394,10,1135,393,13.43333333,0.146242278
1400000US18097340700,30.175,24.4,25.4,48.7,22.2,4865,14,1197,296,13.72222222,0.015504891
1400000US18097340800,32.75,16.7,9.6,90.6,14.1,1633,3,156,0,11.58333333,0
1400000US18097340901,31.575,22.4,5.9,93.5,4.5,3991,3,210,122,9.416666667,0
1400000US18097341000,24.8,12,3.7,78.4,5.1,1595,12,53,1,13.58333334,0
1400000US18097341100,29.475,28.1,17.7,55.2,16.9,2151,11,381,236,15.11111111,0
1400000US18097341200,30.35,9,35.9,54.9,21.6,2627,7,919,189,12.33333333,0.003788274
1400000US18097341600,34.175,17.4,40.3,52.3,26.7,1884,37,760,204,14.08333333,0.008410832
1400000US18097341902,29.575,29,12.9,74.7,1.7,3942,6,455,166,12,0.007760896
1400000US18097341903,15.35,14.1,24.8,12,10.5,5781,0,1404,441,13,0
1400000US18097341904,23.825,11.4,20,48.1,15.8,2011,1,395,156,14.66666667,0
1400000US18097342000,36.675,36.9,9.7,96.6,3.5,6579,7,637,193,7.416666667,0
1400000US18097342101,31.775,27.1,19.4,65.8,14.8,5688,8,1076,365,12,0
1400000US18097342200,32.525,28,23.7,59.5,18.9,5703,12,1335,582,13.5,0.043799456
1400000US18097342300,34.775,38.7,17.3,60.4,22.7,6678,10,1121,493,10.5,0.020029681
1400000US18097342400,31.725,27.9,26.2,56.9,15.9,1546,6,393,262,9.666666667,0.023215129
1400000US18097342500,30.575,13.1,23.5,65.4,20.3,4574,13,1036,454,14.6,0.003694788
1400000US18097342600,31.8,24.1,32.8,50.9,19.4,3780,12,1237,392,12.16666667,0.006624336
1400000US18097350100,28.2,14.6,5.9,69.3,23,1259,16,74,99,12.66666667,0.191993684
1400000US18097350300,22.975,7,39.1,15.4,30.4,2290,10,870,297,14.16666667,0
1400000US18097350400,21.3,24.6,15.9,39.1,5.6,2481,9,395,208,12.94444444,0.029647558
1400000US18097350500,32.3,14.3,35.6,54.2,25.1,2379,7,832,217,12.55555555,0.00789284
1400000US18097350600,35.425,22.3,28.8,70.1,20.5,5484,4,1581,325,11.3,0
