GEO_ID,crimes
1400000US18097342300,493
1400000US18097342400,262
1400000US18097342500,454
1400000US18097342600,392
1400000US18097350100,99
1400000US18097350300,297
1400000US18097350400,208
1400000US18097370201,185
1400000US18097380200,351
1400000US18097380402,66
1400000US18097380501,97
1400000US18097350500,217
1400000US18097350600,325
1400000US18097351000,212
1400000US18097351200,283
1400000US18097351500,159
1400000US18097351600,197
1400000US18097351700,278
1400000US18097352100,237
1400000US18097352300,180
1400000US18097352400,303
1400000US18097352500,285
1400000US18097352600,502
1400000US18097352700,386
1400000US18097350700,145
1400000US18097353300,366
1400000US18097353500,116
1400000US18097353600,198
1400000US18097322000,192
1400000US18097342000,193
1400000US18097380502,228
1400000US18097310201,247
1400000US18097310305,328
1400000US18097340500,214
1400000US18097354700,157
1400000US18097360202,227
1400000US18097310104,464
1400000US18097310105,217
1400000US18097310106,255
1400000US18097310108,43
1400000US18097322200,66
1400000US18097354500,236
1400000US18097321900,67
1400000US18097350900,103
1400000US18097361100,160
1400000US18097350800,187
1400000US18097331000,241
1400000US18097351900,170
1400000US18097310110,123
1400000US18097310310,102
1400000US18097330109,132
1400000US18097330804,191
1400000US18097340700,296
1400000US18097340800,0
1400000US18097357800,214
1400000US18097357900,377
1400000US18097358000,165
1400000US18097358100,352
1400000US18097360101,234
1400000US18097360102,265
1400000US18097360201,408
1400000US18097390200,125
1400000US18097390300,90
1400000US18097341000,1
1400000US18097341100,236
1400000US18097341200,189
1400000US18097360301,281
1400000US18097360302,516
1400000US18097360401,363
1400000US18097360405,277
1400000US18097360501,118
1400000US18097360502,473
1400000US18097360601,201
1400000US18097360602,408
1400000US18097360700,144
1400000US18097310111,210
1400000US18097341600,204
1400000US18097341902,166
1400000US18097342101,365
1400000US18097340112,231
1400000US18097340114,48
1400000US18097310204,221
1400000US18097310312,340
1400000US18097360900,489
1400000US18097361000,70
1400000US18097361200,210
1400000US18097361300,227
1400000US18097310203,272
1400000US18097340202,0
1400000US18097340201,153
1400000US18097330206,0
1400000US18097330806,148
1400000US18097310309,181
1400000US18097330805,217
1400000US18097341904,156
1400000US18097341903,441
1400000US18097340113,115
1400000US18097340111,88
1400000US18097342200,582
1400000US18097310311,158
1400000US18097355100,306
1400000US18097360402,181
1400000US18097340901,122
1400000US18097320105,144
1400000US18097321300,124
1400000US18097330203,38
1400000US18097330204,5
1400000US18097330401,173
1400000US18097354400,1035
1400000US18097354900,413
1400000US18097355000,347
1400000US18097355300,406
1400000US18097355400,290
1400000US18097355500,202
1400000US18097355600,367
1400000US18097355700,330
1400000US18097380600,403
1400000US18097330500,196
1400000US18097330600,1
1400000US18097330900,426
1400000US18097340101,167
1400000US18097355900,242
1400000US18097380700,254
1400000US18097380800,174
1400000US18097380901,97
1400000US18097380902,544
1400000US18097381002,82
1400000US18097381101,127
1400000US18097381102,411
1400000US18097340102,241
1400000US18097381203,116
1400000US18097381204,196
1400000US18097381205,117
1400000US18097340108,110
1400000US18097340400,263
1400000US18097340600,393
1400000US18097356400,349
1400000US18097356900,238
1400000US18097357000,255
1400000US18097357100,236
1400000US18097352800,144
1400000US18097357200,369
1400000US18097357300,234
1400000US18097357400,218
1400000US18097357500,42
1400000US18097320202,281
1400000US18097320203,109
1400000US18097320400,136
1400000US18097320500,133
1400000US18097320600,116
1400000US18097320301,242
1400000US18097320700,93
1400000US18097322500,117
1400000US18097322700,74
1400000US18097320903,286
1400000US18097321001,122
1400000US18097321002,94
1400000US18097320800,36
1400000US18097321600,215
1400000US18097321700,183
1400000US18097310306,1107
1400000US18097330103,196
1400000US18097310308,126
1400000US18097321100,121
1400000US18097321200,199
1400000US18097321400,290
1400000US18097320106,113
1400000US18097320107,56
1400000US18097320108,351
1400000US18097320109,70
1400000US18097320303,145
1400000US18097330105,852
1400000US18097330106,344
1400000US18097330107,57
1400000US18097321800,90
1400000US18097322100,108
1400000US18097322300,68
1400000US18097322400,172
1400000US18097320901,143
1400000US18097320902,207
1400000US18097356200,194
1400000US18097360800,217
1400000US18097354800,263
1400000US18097390700,256
1400000US18097390900,254
1400000US18097330208,0
1400000US18097390500,144
1400000US18097330803,279
1400000US18097380404,71
1400000US18097390102,160
1400000US18097380403,1
1400000US18097390405,250
1400000US18097330108,47
