GEO_ID,income
1400000US18097380700,27.5
1400000US18097380800,19.5
1400000US18097380901,27.2
1400000US18097380902,20.6
1400000US18097381002,14.4
1400000US18097381003,34.5
1400000US18097381004,19.8
1400000US18097381101,18.6
1400000US18097381102,29.4
1400000US18097381203,19.5
1400000US18097381204,19.6
1400000US18097381205,18.8
1400000US18097381206,27.5
1400000US18097381207,45.2
1400000US18097390102,29.5
1400000US18097390103,25.2
1400000US18097390104,29.5
1400000US18097390200,12.2
1400000US18097390300,25.6
1400000US18097390405,10.8
1400000US18097390406,16
1400000US18097390407,4.3
1400000US18097390408,25.6
1400000US18097390409,23
1400000US18097390410,21.3
1400000US18097390411,24.5
1400000US18097390500,25.1
1400000US18097390601,8.4
1400000US18097390602,21.3
1400000US18097390700,22.5
1400000US18097390801,-
1400000US18097390802,25.3
1400000US18097390900,5.1
1400000US18097391001,100
1400000US18097391002,3.3
