GEO_ID,percentPoverty
1400000US18097380502,18.2
1400000US18097380600,7.8
1400000US18097380700,14.2
1400000US18097380800,15.3
1400000US18097380901,6
1400000US18097380902,10.5
1400000US18097381002,5.6
1400000US18097381003,16.1
1400000US18097381004,24.6
1400000US18097381101,4.4
1400000US18097381102,5.6
1400000US18097381203,19.4
1400000US18097381204,12.8
1400000US18097381205,16.1
1400000US18097381206,5.6
1400000US18097381207,1.8
1400000US18097390102,21
1400000US18097390103,6.8
1400000US18097390104,8
1400000US18097390200,3.2
1400000US18097390300,3.3
1400000US18097390405,3.3
1400000US18097390406,0.6
1400000US18097390407,0.7
1400000US18097390408,0.4
1400000US18097390409,2.6
1400000US18097390410,0.5
1400000US18097390411,6.2
1400000US18097390500,29.9
1400000US18097390601,36.6
1400000US18097390602,9.5
1400000US18097390700,16.6
1400000US18097390801,-
1400000US18097390802,8.9
1400000US18097390900,15.3
1400000US18097391001,41.4
1400000US18097391002,23.2
1600000US1836003,16.9
