Latitude,Longitude,crime
39.793401,-86.218599,1
39.820486,-86.115372,1
39.831065,-86.169537,1
39.782774,-86.108193,1
39.809686,-86.144405,1
39.884077,-86.198473,1
39.7907,-86.088697,1
39.789294,-86.124239,1
39.802989,-86.175344,1
39.819366,-86.090515,1
39.772218,-86.104697,1
39.779004,-86.108074,1
39.81068,-86.161096,1
39.828371,-85.986579,1
39.800127,-85.98904,1
39.837154,-86.23634,1
39.820761,-86.016355,1
39.86647,-86.201631,1
39.778889,-86.153412,1
39.823955,-86.159449,1
39.772981,-86.123312,1
39.772981,-86.123312,1
39.768558,-86.110864,1
39.826861,-86.207234,1
39.706332,-86.262849,1
39.735652,-86.242495,1
39.824035,-86.155928,1
39.814458,-86.138985,1
39.819941,-86.159417,1
39.780882,-85.979772,1
39.79393,-86.1134,1
39.82483,-86.01559,1
39.768044,-86.197114,1
39.834792,-86.017325,1
39.820156,-86.145259,1
39.780777,-86.208926,1
39.78618,-86.200882,0.7
39.813249,-86.184404,1
39.754134,-86.125954,1
39.754134,-86.125954,1
39.803956,-86.125622,1
39.796718,-86.024677,1
39.901702,-86.189751,1
39.736925,-86.168419,0.9
39.776152,-86.29653,1
39.803834,-86.182604,1
39.8221,-86.138612,1
39.793468,-86.032907,1
39.812434,-86.186924,1
39.812434,-86.186924,1
39.812434,-86.186924,1
39.812434,-86.186924,1
39.79589,-86.064869,1
39.824163,-86.260524,1
39.882798,-86.007271,1
39.839805,-86.143239,1
39.793092,-86.108525,1
39.836402,-86.126703,1
39.78704,-86.04813,1
39.810131,-86.161409,1
39.77523,-86.115226,1
39.774621,-86.116506,1
39.806134,-86.009133,1
39.836519,-86.271015,1
39.858594,-86.245167,1
39.777206,-86.294899,1
39.892828,-86.196761,1
39.748164,-86.149632,0.9
39.822252,-86.075377,1
39.821251,-86.044899,1
39.790184,-86.074364,1
39.805559,-86.186007,1
39.821251,-86.044899,1
39.815716,-85.959291,1
39.793543,-86.107333,1
39.875354,-86.196248,1
39.835175,-86.081899,1
39.785286,-86.105025,1
39.808058,-86.183609,1
39.807536,-86.175272,1
39.776772,-86.194679,1
39.789681,-86.088546,1
39.822952,-86.106139,1
39.814347,-86.183904,1
39.791292,-86.11845,1
39.799759,-86.063088,1
39.792359,-86.040987,1
39.79796,-86.205872,1
39.824664,-86.122886,1
39.761584,-86.268731,1
39.829232,-86.007476,1
39.843642,-86.117065,1
39.834145,-85.987402,1
39.777046,-86.195037,1
39.768499,-86.089312,1
39.820292,-86.087429,1
39.776034,-86.21583,1
39.816178,-86.091074,1
39.817186,-86.217036,1
39.858323,-86.267304,1
39.775173,-86.107576,1
39.740725,-86.091735,1
39.832052,-86.072245,1
39.811575,-86.164676,1
39.824487,-86.23472,1
39.820599,-86.159424,1
39.829173,-86.169606,1
39.714659,-86.233098,1
39.829432,-86.165781,1
39.80391,-86.105964,1
39.886243,-86.209506,1
39.874911,-86.192716,1
39.821146,-86.140363,1
39.816383,-86.102313,1
39.830072,-86.073805,1
39.810273,-86.220961,1
39.786531,-86.066981,1
39.826901,-86.163041,1
39.822405,-86.111486,1
39.824618,-86.259659,1
39.841364,-86.138555,1
39.817533,-86.143794,1
39.824449,-85.996913,1
39.79268,-86.213264,1
39.81975,-86.158195,1
39.772278,-86.219296,1
39.771383,-86.11612,1
39.793401,-86.218599,1
39.829214,-86.06055,1
39.812661,-86.110866,1
39.824423,-86.044426,1
39.818552,-86.083758,1
39.771962,-86.09667,1
39.771962,-86.09667,1
39.831312,-86.111067,1
39.77935,-86.09995,1
39.800894,-86.211251,1
39.817499,-86.099862,1
39.819101,-86.130873,1
39.80193,-86.159915,1
39.799706,-86.065445,1
39.799706,-86.065445,1
39.822166,-86.157782,1
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,1
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
39.775092,-86.13216,0.33
