GEO_ID,NAME,S2201_C04_001E
Geography,Geographic Area Name,Estimate!!Percent households receiving food stamps/SNAP!!Households
1400000US18097340202,"Census Tract 3402.02, Marion County, Indiana",9.1
1400000US18097340301,"Census Tract 3403.01, Marion County, Indiana",40.1
1400000US18097340302,"Census Tract 3403.02, Marion County, Indiana",15.1
1400000US18097340400,"Census Tract 3404, Marion County, Indiana",21.3
1400000US18097340500,"Census Tract 3405, Marion County, Indiana",16.7
1400000US18097340600,"Census Tract 3406, Marion County, Indiana",13.5
1400000US18097340700,"Census Tract 3407, Marion County, Indiana",22.2
1400000US18097340800,"Census Tract 3408, Marion County, Indiana",14.1
1400000US18097340901,"Census Tract 3409.01, Marion County, Indiana",4.5
1400000US18097340903,"Census Tract 3409.03, Marion County, Indiana",6.3
1400000US18097340904,"Census Tract 3409.04, Marion County, Indiana",7.7
1400000US18097341000,"Census Tract 3410, Marion County, Indiana",5.1
1400000US18097341100,"Census Tract 3411, Marion County, Indiana",16.9
1400000US18097341200,"Census Tract 3412, Marion County, Indiana",21.6
1400000US18097341600,"Census Tract 3416, Marion County, Indiana",26.7
1400000US18097341701,"Census Tract 3417.01, Marion County, Indiana",30.5
1400000US18097341702,"Census Tract 3417.02, Marion County, Indiana",11.3
1400000US18097341902,"Census Tract 3419.02, Marion County, Indiana",1.7
1400000US18097341903,"Census Tract 3419.03, Marion County, Indiana",10.5
1400000US18097341904,"Census Tract 3419.04, Marion County, Indiana",15.8
1400000US18097342000,"Census Tract 3420, Marion County, Indiana",3.5
1400000US18097342101,"Census Tract 3421.01, Marion County, Indiana",14.8
1400000US18097342200,"Census Tract 3422, Marion County, Indiana",18.9
1400000US18097342300,"Census Tract 3423, Marion County, Indiana",22.7
1400000US18097342400,"Census Tract 3424, Marion County, Indiana",15.9
1400000US18097342500,"Census Tract 3425, Marion County, Indiana",20.3
1400000US18097342600,"Census Tract 3426, Marion County, Indiana",19.4
1400000US18097350100,"Census Tract 3501, Marion County, Indiana",23
1400000US18097350300,"Census Tract 3503, Marion County, Indiana",30.4
1400000US18097350400,"Census Tract 3504, Marion County, Indiana",5.6
1400000US18097350500,"Census Tract 3505, Marion County, Indiana",25.1
1400000US18097350600,"Census Tract 3506, Marion County, Indiana",20.5
1400000US18097350700,"Census Tract 3507, Marion County, Indiana",20.1
1400000US18097350800,"Census Tract 3508, Marion County, Indiana",29.3
1400000US18097350900,"Census Tract 3509, Marion County, Indiana",22.7
1400000US18097351000,"Census Tract 3510, Marion County, Indiana",20.4
